name,lat,lng,category
"Reservoir Number Two",41.02858880863589,-91.94870744727646,Lake
"Lake Iowa",41.63856969843166,-92.17425898005745,Lake
"Lake Darling",41.19505656087138,-91.89857824206341,Lake
"Walton Lake",41.014629113857694,-91.9339332990283,Lake
"Lake MacBride",41.79923243240814,-91.55098882334082,Lake
"Lily Pond",41.79841368479774,-91.88682396657805,Lake
"Cedar Lake",41.98947549531946,-91.66803951628256,Lake
"Holiday Lake",41.81630541018902,-92.44764395143851,Lake
"Wiese Slough",41.556219735813556,-91.13258334566378,Lake
"Sunfish Lake",41.10719460287014,-91.08682116389706,Lake
"Iowa Slough Lake",41.071572777375565,-90.97609399169679,Lake
"Warnstaff Lake",41.154008015957146,-91.1516896394401,Lake
"Fox Pond",41.211728276747515,-91.09912790393554,Lake
"Spitznogle Lake",41.1276654782588,-91.10105277635262,Lake
"Cone Lake",41.389570116835316,-91.32309453393437,Lake
"Lake George",41.42675211987499,-90.82705868081125,Lake
"Beattys Pond",41.329552882856206,-91.07918575437097,Lake
"I-280 Lake",41.52127962018055,-90.67875698461822,Lake
"Horseshoe Lake",41.38032289670819,-91.40978980006804,Lake
"Lake Odesa",41.18068973458507,-91.08001075207895,Lake
"Frye Lake",41.30290283796569,-90.49097196575067,Lake
"Snakeden Hollow Lake",41.01340649798063,-90.07925811465176,Lake
"Johnson Lake",41.32411496842229,-89.88584079427322,Lake
"Goose Lake",41.968087084030216,-90.40207106876309,Lake
"Shadow Lake",41.54528446174045,-90.17563035208074,Lake
"Lake Carlton",41.84537964587752,-89.9663374103018,Lake
"Coleman Lake",41.2877917808062,-89.33332679528047,Lake
"Lake Thunderbird",41.20724108298667,-89.44944555922851,Lake
"Goose Lake",41.06826839305475,-89.39950968814857,Lake
"Spring Lake",41.30232610721053,-89.34691958026013,Lake
"Wightman Lake",41.0115840195637,-89.43404330608298,Lake
"Turner Lake",41.31389448937622,-89.25610197907102,Lake
"Lake Arispie",41.30321031297025,-89.41959329362241,Lake
"Lake Rawson",41.29581750773761,-89.37403472203906,Lake
"Lake Holiday",41.6174889910309,-88.67205958093359,Lake
"Lost Lake",41.91287670765134,-89.3603919127488,Lake
"Depue Lake",41.31524317637097,-89.31613428084323,Lake
"Sawmill Lake",41.126722172167256,-89.32244175706221,Lake
"Lake Sule",41.908287457335334,-89.02578397797011,Lake
"Senachwine Lake",41.21237050925585,-89.37247009132224,Lake
"Shabbona Lake",41.7471097264165,-88.86267195157939,Lake
"LaSalle County Nuclear Station Cooling Pond",41.25943701691741,-88.65076944040432,Lake
"Billsbach Lake",41.08303563259262,-89.36331388625683,Lake
"Swan Lake",41.15877512367428,-89.31209050115586,Lake
"Hickory Ridge Lake",41.26535179647522,-89.34897174013321,Lake
"Lake Wildwood",41.06958028312718,-89.27996878805115,Lake
"Split Rock Lake",41.33020266589081,-89.05838075337324,Lake
"Huse Lake",41.32179238788601,-89.10066668102404,Lake
"Tampier Slough",41.65624675068906,-87.90706160739948,Lake
"Lake Calumet",41.6776734375867,-87.5892523358017,Lake
"Goose Lake",41.356477985718634,-88.28151650313663,Lake
"Longjohn Slough",41.71143966521727,-87.87862274011594,Lake
"Lake Plainfield",41.61580340367221,-88.18706158274854,Lake
"Maple Lake",41.71425868028647,-87.89040912379555,Lake
"Lake Law",41.83573599521814,-88.22692688692798,Lake
"Silver Lake",41.83324562456497,-88.17422426879727,Lake
"Powder Horn Lake",41.64312730202074,-87.52985614980336,Lake
"Orland Lake",41.63998053085158,-87.8658544513074,Lake
"Dresden Cooling Lake",41.35422579829343,-88.23916449818995,Lake
"Lake Renwick",41.6026111289515,-88.19187796007247,Lake
"Saganashkee Slough",41.6937435289734,-87.8892310680604,Lake
"Heidecke Lake",41.36894148530188,-88.3402362036085,Lake
"Lake George",41.666796474688645,-87.50410325192719,Lake
"Lake George",41.67097114609563,-87.5019671719515,Lake
"Nelson Lake",41.8345329483648,-88.3770132622311,Lake
"Tampier Lake",41.64850355354343,-87.90146379652195,Lake
"Wolf Lake",41.66546805168791,-87.52669699271809,Lake
"Monee Reservoir",41.391320764282014,-87.76180976537319,Lake
"Wolf Lake",41.67366493051164,-87.51723767895608,Lake
"Whalon Lake",41.716178125576995,-88.09229544411939,Lake
"Braidwood Power Plant Cooling Pond",41.22480288568309,-88.21212682108248,Lake
"Lake Michigan",44.56945895101206,-86.89533062342416,Lake
"Silver Lake",41.6925655115255,-86.59381195493157,Lake
"Clear Lake",41.638346513191905,-86.5448171457133,Lake
"Upper Fish Lake",41.56540884955162,-86.5454093627871,Lake
"Crane Lake",41.61852409565516,-86.76403425289442,Lake
"Cedar Lake",41.371751797088635,-87.43325685905057,Lake
"Lake George",41.52060864913109,-87.28591270548732,Lake
"Grand Boulevard Lake",41.57541774436467,-87.25809049727067,Lake
"Lake Holiday",41.40368448985598,-87.22081703730127,Lake
"Big Bass Lake",41.408466065363335,-87.20978213229331,Lake
"Lake Eliza",41.42860392097797,-87.17678265180672,Lake
"Loomis Lake",41.51673164500287,-87.05898412203902,Lake
"Swede Lake",41.61085958065838,-86.8269854635279,Lake
"Flint Lake",41.51211262751791,-87.04351866823734,Lake
"Lake Louise",41.462234829636095,-87.1499038469205,Lake
"Hudson Lake",41.71686551762736,-86.55703567767326,Lake
"Horseshoe Lake",41.64301088823047,-86.73052894597518,Lake
"Clear Lake",41.61991718840366,-86.72302243003892,Lake
"Fishtrap Lake",41.63317076271694,-86.72965287349852,Lake
"Redwing Lake",41.30042774914428,-87.38973046242494,Lake
"Hunt Lake",41.66162424489556,-86.56145327852866,Lake
"Long Lake",41.61601423920394,-87.20968462032565,Lake
"Long Lake",41.522713509399026,-87.04867604825175,Lake
"South Clear Lake",41.75854615934954,-86.3772816644653,Lake
"Worster Lake",41.54763788164205,-86.3625733224892,Lake
"Pike Lake",41.25220010883343,-85.84269007984349,Lake
"Long Lake",41.9562452488066,-85.75319968332849,Lake
"Loon Lake",41.08407435904351,-85.96822964511007,Lake
"Lake of the Wood",41.42399153147334,-86.22933772522073,Lake
"Hoffman Lake",41.27280433714573,-85.98757145847236,Lake
"Colonial Pond",41.04490109040481,-86.1776361448221,Lake
"Diamond Lake",41.89808394710072,-85.98061347435117,Lake
"Clear Lake",41.83260580663275,-86.42119159745207,Lake
"Mullen Lake",41.8736686519254,-86.06045483229798,Lake
"Skab Lake",41.85206964304382,-86.05840362539352,Lake
"Smith Lake",41.95558136491469,-86.23061556080074,Lake
"Lake Chapin",41.93063754560621,-86.34282508758166,Lake
"Lake Latonka Dam",41.297900377148586,-86.40993681476823,Lake
"Sousley Lake",41.57515413263173,-86.41898893261732,Lake
"Marl Lakes",41.77242371018197,-85.61449250618199,Lake
"Indian Lake",41.99409666356703,-86.21330284011876,Lake
"James Lake",41.31797345286314,-85.72399665914857,Lake
"Pretty Lake",41.32585451474173,-86.37416602967919,Lake
"Bair Lake",41.894705198377395,-85.807118829052,Lake
"Eagle Lake",41.802402733653196,-86.02989174074814,Lake
"Crystal Lake",41.23573246613511,-85.9843564362527,Lake
"Dayton Lake",41.7963343511116,-86.43215607597334,Lake
"Carr Lake",41.15710755692647,-85.86335140167816,Lake
"Hoffman Pond",41.95815558090655,-85.62130467351483,Lake
"Langenbahn Lake",41.17310323588878,-86.48246168925962,Lake
"Long Lake",41.91673387516337,-86.30448122210323,Lake
"Pleasant Lake",41.80348537506109,-86.08956388912132,Lake
"Streaters Mill Pond",41.98047451738803,-85.80077852396924,Lake
"Tharp Lake",41.85086639687234,-85.91689951472426,Lake
"Birch Lake",41.879013667050074,-85.85634301938798,Lake
"Mud Lake",41.93561077869559,-85.72586443822834,Lake
"Little Chapman Lake",41.28163798857456,-85.79056144693419,Lake
"Madron Lake",41.872969270120805,-86.41350242123517,Lake
"Flat Lake",41.328025172562576,-86.43561996586801,Lake
"Webster Lake",41.90709040075595,-86.30136746935695,Lake
"Skyhawk Lake",41.985878062118836,-85.81991994000383,Lake
"Tamarack Lake",41.813186669257284,-85.51672777390938,Lake
"Murphy Lake",41.94320216965547,-86.25738411109626,Lake
"North Chain Lake",41.700503834900445,-86.37081958190079,Lake
"Mill Lake",41.98864249487265,-85.78198252445567,Lake
"Barron Lake",41.84357752085793,-86.18340727450642,Lake
"Juno Lake",41.808553454002876,-85.98497215349767,Lake
"Donnell Lake",41.9074950632849,-85.89376359475122,Lake
"Beaver Dam Lake",41.09348458928799,-85.97617979683253,Lake
"Mill Pond",41.98635970712165,-86.0766081259456,Lake
"Myers Lake",41.30087004997522,-86.34815254168498,Lake
"Caldwell Lake",41.12563758129489,-85.90070260200727,Lake
"Hutchens Lake",41.9163980947104,-85.84183929795809,Lake
"Puterbaugh Lake",41.86503047704941,-85.98695349766469,Lake
"Belas Lake",41.93902168847484,-85.88017257985187,Lake
"Palestine Lake",41.174564135181484,-85.9393684029671,Lake
"Mount Zion Millpond",41.01004997312293,-86.1403625943028,Lake
"Clear Lake",41.94808593921931,-85.73212246963878,Lake
"Shavehead Lake",41.84103955997972,-85.8660595063835,Lake
"Little Barbee Lake",41.2915008418573,-85.72266117484627,Lake
"Lake Maxinkuckee",41.19514218724469,-86.39969317138353,Lake
"Kelsey Lake",41.97717351606651,-86.01883120598468,Lake
"Robbins Lake",41.822250135434096,-85.81945152864415,Lake
