name,lat,lng,category
"Lake Tanglewood",35.052532268108585,-101.7805593172282,Lake
"Lake Meredith",35.647091837115454,-101.65709434076814,Lake
"Bone Lake",35.86787523738849,-101.9341466664346,Lake
"Stalanaker Lake",35.29985411480347,-101.7243815934552,Lake
"Icehouse Lake",35.39195715932437,-101.54677847035195,Lake
"Pantex Lake",35.37476595034393,-101.49989507699937,Lake
"Amarillo Lake",35.2187870543254,-101.8531111423266,Lake
"Amarillo Terminal Reservoir",35.238864114439856,-101.76299097787373,Lake
"Rockwell Lake",35.39957236640885,-101.59435348053819,Lake
"Lake McConnell",35.5368980083065,-101.07227246887578,Lake
"Palo Duro Club Lake",35.017618806640705,-101.88106749294502,Lake
"Bell Lake",35.45318417953739,-101.01356346301674,Lake
"Turkey Track Ranch Reservoir",35.888147495629156,-101.17801643467104,Lake
"McGee Lake",35.28181284098514,-101.66699632784479,Lake
"Soil Conservation Service Site 32 Reservoir",35.73662310679058,-100.00404555773684,Lake
"Soil Conservation Service Site 1 Reservoir",35.72008481932975,-100.51624708315242,Lake
"Soil Conservation Service Site 17 Reservoir",35.59678758318273,-100.43536424437079,Lake
"Soil Conservation Service Site 30 Reservoir",35.759120992675136,-100.04935925987861,Lake
"Lake Marvin",35.88445839992834,-100.18496598748153,Lake
"Lake Fensterwald",35.60345065809985,-100.30988197995464,Lake
"Lake Sharon",35.74231783401044,-100.13328916870971,Lake
"Soil Conservation Service Site 2 Reservoir",35.71389181670223,-100.48036661729222,Lake
"Soil Conservation Service Site 25 Reservoir",35.68575458605996,-100.16226281525745,Lake
"Wakefield Lake",35.27940888242545,-100.98046997533827,Lake
"Soil Conservation Service Site 14 Reservoir",35.71650620558655,-100.25268499709938,Lake
"Greenbelt Reservoir",35.006074272160326,-100.91021252188742,Lake
"Soil Conservation Service Site 4 Reservoir",35.7088630972979,-100.43731787553808,Lake
"Soil Conservation Service Site 9 Reservoir",35.74780935611015,-100.34665044446959,Lake
"Big Lake",35.871546572912706,-100.06184969598205,Lake
"Lake Hobart",35.1784534283556,-99.07496211072174,Lake
"Soldier Creek Watershed Site 4 Reservoir",35.448771220866796,-99.30354948303606,Lake
"Foss Reservoir",35.582505393391806,-99.23455038827997,Lake
"Soldier Creek Watershed Site 5 Reservoir",35.48746694002899,-99.26724123342196,Lake
"Boggy Creek Watershed Site 13 Reservoir",35.34231015711553,-99.10572296007078,Lake
"Cavalry Creek Watershed 15 Reservoir",35.24704946545429,-99.0370525903647,Lake
"Clinton Lake",35.43146640721971,-99.22659320856363,Lake
"Baker Lake",35.480559623084794,-99.61880302221665,Lake
"Lake Elk City",35.36158688559795,-99.41341342261626,Lake
"Leedey Lake",35.847413653937124,-99.3047274610539,Lake
"Turkey Creek Site 7 Reservoir",35.414542506720416,-99.22024364129857,Lake
"Taylor Lake",35.50830451176953,-99.61633818214094,Lake
"Turkey Creek Site 6 Reservoir",35.436269767267014,-99.24231391047675,Lake
"Dead Warrior Lake",35.74976918914308,-99.72069111980123,Lake
"Sugar Creek Site 26 Reservoir",35.30938119356723,-98.25617971688415,Lake
"Public Service Reservoir Number 3",35.134039462738194,-98.332397722678,Lake
"Sugar Creek Site 24 Reservoir",35.3107818640945,-98.2983289488778,Lake
"Lake Chickasha",35.150763588049635,-98.1417391985209,Lake
"Cedar Lake",35.43061813638635,-98.19260917807121,Lake
"Lake Rolla",35.52791536250701,-98.02780530145178,Lake
"Crowder Lake",35.40651476315324,-98.71021460413937,Lake
"Rainy Mountain Creek Site 38 Reservoir",35.10582510413423,-98.78962181611173,Lake
"American Horse Lake",35.63385819219021,-98.50046658821198,Lake
"Fast Runner Site 4 Reservoir",35.39907440443221,-98.3678855177657,Lake
"Rainy Mountain Creek Site 31 Reservoir",35.115573544737764,-98.94315802768935,Lake
"Lake Vanderwork",35.17016891508953,-98.8287200744017,Lake
"Four Mile Creek Site 1 Reservoir",35.52123607439941,-97.99199813755727,Lake
"Rainy Mountain Creek Site 29a Reservoir",35.03314192113987,-98.90090050057857,Lake
"Fort Cobb Reservoir",35.19989500480228,-98.48343756402768,Lake
"Northwood Lake",35.624947866544666,-97.76600226275234,Lake
"Bear Fall Coon Creek Site 3r Reservoir",35.803528712643256,-97.11847918342272,Lake
"Cottonwood Creek Site 16 Reservoir",35.70432222362971,-97.78728374086235,Lake
"Lake Thunderbird",35.238880965482345,-97.25957436118208,Lake
"Cottonwood Creek Site 15 Reservoir",35.74431186711556,-97.74511212155379,Lake
"Horseshoe Lake",35.50794859636517,-97.17626604825945,Lake
"Bear Fall Coon Creek Site 13 Reservoir",35.813904126358516,-97.34175582589268,Lake
"Uncle John Creek Site 13 Reservoir",35.764581431176396,-97.86133509963423,Lake
"Guthrie Lake",35.813477928285245,-97.43575638168154,Lake
"Lake Langston",35.915214933649075,-97.27554786303223,Lake
"Stanley Draper Lake",35.35904442279746,-97.36024204636892,Lake
"Lake Hefner",35.55477935213921,-97.5928362498166,Lake
"Liberty Lake",35.79624571347067,-97.46301739690618,Lake
"Lake Overholser",35.50237771791812,-97.67599837860146,Lake
"Lake Hiwassee",35.646674446082734,-97.30673608587652,Lake
"Country Club Lake",35.87421695702697,-97.37983807769994,Lake
"Shawnee Reservoir",35.34647929787743,-97.08403936047739,Lake
"Clark Lake",35.637053883731525,-96.73348822298038,Lake
"Weleetka Lake",35.336228656264495,-96.16899113821343,Lake
"Okmulgee Lake",35.604272756746525,-96.08150982862841,Lake
"Prague Lake",35.525315382065145,-96.71884592685089,Lake
"Chandler Lake",35.740840460143495,-96.90636514262178,Lake
"Okemah Lake",35.5171201437331,-96.32119926580596,Lake
"Cushing Lake",35.997925555517,-96.8758451936575,Lake
"Lake Jackson",35.873641066500824,-96.11143587701653,Lake
"Tecumseh Lake",35.28863734941434,-96.96105639935475,Lake
"Stroud Lake",35.81175320100257,-96.60745999771943,Lake
"Sportsman Lake",35.213797355611604,-96.55520466993828,Lake
"New Beggs Lake",35.74531646056749,-96.02074980793525,Lake
"Stanley Lake",35.30543965976069,-96.35387434969822,Lake
"Wewoka Lake",35.19692700392653,-96.51797928881801,Lake
"Todd Lake",35.66126048694287,-96.64632492685566,Lake
"Sapulpa Lake",36.00302325748841,-96.18438812976903,Lake
"Meeker Lake",35.49168090914051,-96.94379823580428,Lake
"Brooks Lake",35.17616133486244,-96.1820802802533,Lake
"Cohee Lake",35.32873486199382,-96.3933909836553,Lake
"Browns Lake",35.64182334426039,-96.71133558031407,Lake
"Lake Wetumka",35.285773533502585,-96.25300693556872,Lake
"Little Deep Fork Creek Site 10 Reservoir",35.874817236143606,-96.55755888290315,Lake
"Salt Creek Site S-1 Reservoir",35.55539476157293,-96.1244326639421,Lake
"Lake Holdenville",35.03499914804039,-96.3557253648778,Lake
"Heyburn Lake",35.96359881649013,-96.30411982700411,Lake
"Horseshoe Lake",35.78139411019274,-95.28199840328936,Lake
"Taft Lake Number 3",35.73695626802978,-95.5343453455145,Lake
"Lake McAlester",35.032228391136684,-95.83698115932933,Lake
"Tenkiller Ferry Lake",35.706948236653886,-94.96521853120221,Lake
"Flag Lake",35.525287250419616,-95.89973397656209,Lake
"Greenleaf Lake",35.637116611582805,-95.15203673171247,Lake
"Okmulgee Creek Site 1 Reservoir",35.66952694184273,-95.9354387352765,Lake
"Onapa Lake",35.40019306232028,-95.56637866802339,Lake
"Fort Gibson Lake",35.98849646911376,-95.26971104963162,Lake
"Lake Henryetta",35.40457293007357,-95.93180958606776,Lake
"Robert S Kerr Reservoir",35.35416384261513,-94.91640208241476,Lake
"Eufaula Lake",35.46059276248418,-95.68578754653156,Lake
"Webbers Falls Reservoir",35.653550196327025,-95.22580298631797,Lake
"Eufaula Lake",35.378921298672886,-95.66537868061393,Lake
"Ross Lake",35.777300921884596,-95.26088066313254,Lake
"Eufaula Lake",35.170949799248355,-95.5493904701617,Lake
"Bixhoma Lake",35.89189377464624,-95.79693178565478,Lake
"Brushy Creek Reservoir",35.54244057880556,-94.82205337967724,Lake
"T J House Reservoir",35.55175192192498,-94.07746453926677,Lake
"Wofford Lake",35.22209216646051,-94.43389249417943,Lake
"Darby Lake",35.262541568723925,-94.03400206031198,Lake
"Old Spiro Lake",35.239935887829475,-94.60769430356412,Lake
"Lake Alma",35.505168897505186,-94.21833048725668,Lake
"Shadow Lake",35.232236946429936,-94.29827241452239,Lake
"Keenan Lake",35.049676067130974,-93.99793233799964,Lake
"Hollis Lake",35.3857063692592,-94.2994000549864,Lake
"Sugar Loaf Lake",35.0919505875757,-94.40654722478789,Lake
"Budd Kidd Lake",35.968322598163184,-94.3620837169045,Lake
"New Spiro Lake",35.204018132840325,-94.62557626630253,Lake
"Lincoln Lake",35.998305361011965,-94.42072217102353,Lake
"Booneville Lake",35.153402674746715,-94.0597125403815,Lake
"Greenwood Lake",35.18973089210362,-94.2461071306635,Lake
"Lake Prairie Grove",35.93134433016651,-94.34495435513662,Lake
"Caston Mountain Creek Site 5 Reservoir",35.01730284423971,-94.74641418555706,Lake
"Terrell Lake",35.013485087660975,-94.63400937984954,Lake
"Lake Spur",35.019192065361025,-94.23944205975775,Lake
"Charleston Lake",35.28159604264316,-94.04987981956363,Lake
"Club Lake",35.17667109153152,-94.94651373934362,Lake
"Sebastian Lake",35.215502754227984,-94.40401472107834,Lake
"Lake Shepherd Springs",35.67672029000047,-94.13719381854366,Lake
"Ozark Lake",35.44677507226796,-94.03580521332194,Lake
"Lee Creek Reservoir",35.48931985934828,-94.41589716801946,Lake
"Paris Reservoir",35.27144201567848,-93.71524753904114,Lake
"Cove Lake",35.22825109071186,-93.62259472160078,Lake
"Cedar-Piney Lake",35.11551033962863,-93.48497781655323,Lake
"Lake Ola-dale",35.02950775862497,-93.23601310490866,Lake
"Lake Dardanelle",35.372638250608205,-93.46446689948498,Lake
"Shores Lake",35.63995688935312,-93.95901461004243,Lake
"Galla Creek Lake",35.27271249866989,-93.05064012929991,Lake
"Blue Mountain Lake",35.09904879503635,-93.71108029667803,Lake
"Spring Lake",35.154799964728895,-93.42758232191703,Lake
"Pullen Pond",35.08709676088015,-93.13432382033369,Lake
"Hartman Lake",35.41629642679945,-93.64426193216224,Lake
"Ozark City Lake",35.5333491384812,-93.83309174219428,Lake
"Lake Dardanelle State Fish Hatchery",35.34572520781563,-93.36215572857864,Lake
"Galla Creek Wildlife Lake",35.17879210521994,-93.0229875288814,Lake
"Williams Lake",35.194674014562366,-93.95934549917453,Lake
"Lake Ludwig",35.536463581983526,-93.44418478097289,Lake
"Kingfisher Lake",35.09650418896561,-93.10954949396555,Lake
"Lake Carol-Dan",35.09668587140631,-92.52974642349206,Lake
"West Fork Point Remove Creek Site Four Reservoir",35.454985620038464,-92.69693752920713,Lake
"Brewer Lake",35.242218028282274,-92.60330371177024,Lake
"Lake Overcup",35.20432676731201,-92.7172846823499,Lake
"West Fork Point Remove Creek Site 16 Reservoir",35.30566143665196,-92.85188877997254,Lake
"Cargile Lake",35.27541380469099,-92.81444149810623,Lake
"Old River Lake",35.12539505784246,-92.60178975263976,Lake
"Roosevelt Lake",35.130717889551455,-92.91473715213853,Lake
"South Fouche Site Seven Reservoir",35.01276433703217,-92.82564041920418,Lake
"West Fork Point Remove Creek Site One Reservoir",35.48141604395438,-92.65775638095758,Lake
"East Fork Point Remove Site Six Reservoir",35.38252526538229,-92.64870300088454,Lake
"Fish Lake",35.22256950331624,-92.79962595456036,Lake
"Grinnel Pond",35.285526237763655,-92.85628582314028,Lake
"Cox Lake",35.1243488918566,-92.63131230374299,Lake
"Brock Creek Lake",35.49367650573732,-92.8048779842889,Lake
"West Fork Point Remove Creek Site 19 Reservoir",35.37341174024255,-92.9684501138767,Lake
"Lake Atkins",35.208650230630504,-92.9602444402138,Lake
"Earl Brake",35.264913625337506,-92.77112373854197,Lake
"Goose Pond",35.267482905062366,-92.85393578171985,Lake
"Turkey Pond",35.24086510726052,-92.78148291903766,Lake
"Peckenpaugh Lake",36.38601898142671,-101.03616038601044,Lake
"Shultz Lake",36.54534910352409,-101.16449837694374,Lake
"Optima Lake",36.66112846122925,-101.14501139120662,Lake
"Millers Lake",36.33921890128695,-101.34431994438961,Lake
"Wild Horse Lake",36.91925064332236,-101.44911294540022,Lake
"Deer Lake",36.277729115714045,-100.97167347115663,Lake
"Evans Chambers Lake",36.723564994329465,-100.21527307267358,Lake
"Lake Fryer",36.22082340351449,-100.64633432195231,Lake
"Truax Lake",36.34666137215795,-100.9857823297313,Lake
"Gate Lake",36.868644694878796,-100.02224835296377,Lake
"Lake Lloyd Vincent",36.06051520750126,-99.92378185285054,Lake
"Fort Supply Reservoir",36.527532791203214,-99.5696324795856,Lake
"Great Salt Plains Reservoir",36.73495723425104,-98.18451339700238,Lake
"Canton Lake",36.13130407316124,-98.62927941629445,Lake
"Sooner Lake",36.421701926403415,-97.03661940459381,Lake
"Lake Perry",36.24201684264861,-97.35070923965726,Lake
"Boomer Lake",36.156275614736906,-97.06342300771902,Lake
"Stillwater Creek Site 46 Reservoir",36.10075077809415,-97.18786257326133,Lake
"Lake McMurtry",36.18731236973098,-97.19136474638908,Lake
"Newkirk Country Club Lake",36.86603573300865,-97.02960371113674,Lake
"Lake Ponca",36.734948460027745,-97.02470948113321,Lake
"Lake Blackwell",36.95601171058725,-97.41038933930479,Lake
"Indian Hills Lake",36.66555607496296,-96.99734668540421,Lake
"Lake Carl Blackwell",36.13758067823306,-97.240946395611,Lake
"Skiatook Lake",36.383101298442924,-96.2183757455512,Lake
"Bluestem Lake",36.70873693503654,-96.42566543946305,Lake
"Adams Lake",36.94570336188371,-96.55308001139126,Lake
"Mannford Reservoir",36.093112154091116,-96.36624433246061,Lake
"Lake Sahoma",36.034647724909505,-96.16209676138556,Lake
"Pawnee Lake",36.36768867175269,-96.80364611908341,Lake
"Cleveland Reservoir",36.27849194691611,-96.58936832969819,Lake
"Shell Lake",36.191098536259375,-96.17619506303288,Lake
"Lake Waxhoma",36.56051127363763,-96.10614495600717,Lake
"Lake Pawhuska",36.65055666071611,-96.39745358398008,Lake
"Hominy Municipal Lake",36.40314156946637,-96.4252796738082,Lake
"Keystone Lake",36.139587662013525,-96.36085668509548,Lake
"Charlotte Lake",36.74507503865223,-96.64179131160688,Lake
"Fairfax City Lake",36.61290322258903,-96.73269426570698,Lake
"Kaw Lake",36.792682210237736,-96.84607773980248,Lake
"Lake Hudson",36.81633221067413,-96.04264515115281,Lake
"Keystone Lake",36.24905888645997,-96.3327016567135,Lake
"Sunset Lake",36.792929214985136,-96.23599104069794,Lake
"Big Lake",36.20736022977754,-95.67873570426144,Lake
"Grand Lake O' The Cherokees",36.580701821814614,-94.8864149205343,Lake
"Youngs Lake",36.87743631335988,-95.97636166630281,Lake
"Lake Claremore",36.34230640778461,-95.56490774736045,Lake
"Bull Lake",36.68333571975944,-95.11908874179159,Lake
"Big Flag Lake",36.20026696723707,-95.62009928255291,Lake
"Lynn Lane Reservoir",36.128536762118685,-95.76955850347385,Lake
"Oologah Lake",36.55936010285172,-95.58609381023955,Lake
"Lock and Dam 18",36.0746392092432,-95.56073679050502,Lake
"Copan Lake",36.933237237077066,-95.94746681230728,Lake
"Spavinaw Lake",36.39368442095288,-95.0100787030464,Lake
"Inola Lake",36.20337884741045,-95.51923224768616,Lake
"Recreation Lake",36.226838056136785,-95.89282397280697,Lake
"Scarbow Lake",36.28461029007782,-95.29379665437462,Lake
"Chimney Rock Lake",36.24684689433947,-95.0966540312424,Lake
"Lake Yahola",36.21884430857951,-95.93254197720954,Lake
"Siloam Springs Lake",36.22475554096086,-94.5363293802028,Lake
"Lake Ann",36.47387755916256,-94.22398906556941,Lake
"Lake Weddington",36.09034266937502,-94.37153994982195,Lake
"Lake Eucha",36.35398019788233,-94.86762576269233,Lake
"Lake Elmdale",36.19482813586819,-94.21140196519413,Lake
"Lake Flint Creek",36.25264927638342,-94.53327576404475,Lake
"Beaver Lake",36.32449349343968,-93.95512007057064,Lake
"Lake Fayetteville",36.13792528656352,-94.12853078110086,Lake
"Lake Sequoyah",36.0468781936472,-94.05226882367013,Lake
"Grand Lake O' The Cherokees",36.818988134125355,-94.74254034760389,Lake
"Lake O the Cherokees",36.65249829415886,-94.70293054735012,Lake
"Bull Shoals Lake",36.468874635660995,-92.7371580792103,Lake
"Table Rock Lake",36.56648731931181,-93.5068838285603,Lake
"Leatherwood Lake",36.43842640122667,-93.75636442731998,Lake
"Table Rock Lake",36.70929781916087,-93.51059451774003,Lake
"Lake Taneycomo",36.6703468583779,-93.18005353812784,Lake
"Wild Horse Lake",37.69730158512779,-100.79168135729562,Lake
"Proffitt Lake",37.20090352627903,-100.05448156573289,Lake
"Lake Meade",37.16686933689805,-100.43492693142103,Lake
"Clark County State Lake",37.393040242764656,-99.78455634405684,Lake
"Lake Coldwater",37.25250272921906,-99.34779786169128,Lake
"Rosacker Lake",37.90799749583575,-98.50703221799392,Lake
"Pratt County Lake",37.62915219772593,-98.68112475981421,Lake
"Anthony Municipal Lake",37.17986658577523,-98.05050190970839,Lake
"Kingman County State Lake",37.656106978461985,-98.26065464143588,Lake
"Spicer Lake",37.10439330113014,-98.37775337485171,Lake
"Lake Arrowshead",37.41776134336482,-98.60870171167933,Lake
