name,lat,lng,category
"Loma Alta Lake",25.98901769567953,-97.42384274711503,Lake
"Little Henry Lake",25.20012773290292,-80.76572267205123,Lake
"The Everglades",25.3586880719709,-81.08380979446203,Lake
"Mud Lake",25.181316862412444,-80.93644082642335,Lake
"Tarpon Creek",25.19681880492592,-80.91778154230411,Lake
"Seven Palm Lake",25.189942547382085,-80.72773165602308,Lake
"West Lake",25.20904056904245,-80.82713202298983,Lake
"Henry Lake",25.19431979937812,-80.75870726824385,Lake
"Ferguson Bay",25.88192456225343,-81.40760893399865,Lake
"Lake Placid",25.857643436920082,-81.38044591429954,Lake
"The Everglades",25.36792888037709,-81.09174511193018,Lake
"The Everglades",25.39946157191564,-81.07115715587801,Lake
"Taylor Slough",25.30568163822143,-80.64356466810753,Lake
"Skillet Strand",25.881562900854046,-81.17491417325577,Lake
"The Everglades",25.374301512197025,-81.07560226009626,Lake
"The Everglades",25.37322205833183,-81.10041402894716,Lake
"Cabbage Bay",25.607203005800596,-81.08919088504278,Lake
"The Everglades",25.989507562358988,-80.84463802958324,Lake
"The Everglades",25.8619942990194,-80.55243492469239,Lake
"The Everglades",25.182941555807968,-80.74383455589052,Lake
"Middle Lake",25.179317075803205,-80.73041788533808,Lake
"Monroe Lake",25.177896076164807,-80.7458048605269,Lake
"The Lungs",25.17444204885216,-80.7691690853622,Lake
"Cuthbert Lake",25.209268155312138,-80.77470869234693,Lake
"Long Lake",25.19334506749605,-80.78667871724105,Lake
"The Pocket",25.887278677475493,-80.5870108153585,Lake
"The Everglades",25.383743296310872,-80.56981723475732,Lake
"Mud Bay",25.267776550802203,-81.00114030537527,Lake
"Oyster Bay",25.316726632358666,-81.08763990437463,Lake
"The Everglades",25.32026187016103,-80.94828895775663,Lake
"The Everglades",25.31053328103785,-80.9626630544014,Lake
"The Everglades",25.266470223154013,-80.92082955300947,Lake
"East Fox Lake",25.183122838486366,-81.00341099802861,Lake
"The Everglades",25.25409650096598,-80.89263581720547,Lake
"The Everglades",25.288548735251755,-80.94732993684212,Lake
"The Everglades",25.319386333332897,-80.96011574855697,Lake
"The Cutoff",25.252898845430153,-80.87184402402602,Lake
"The Everglades",25.32201614633427,-80.93850494995112,Lake
"Raulerson Prairie",25.162838052691992,-81.05752522929305,Lake
"The Everglades",25.180149755616604,-80.61721052922938,Lake
"The Everglades",25.223917308034956,-81.09096989013959,Lake
"Bear Lake",25.168554035460946,-80.96766312121188,Lake
"The Everglades",25.26967716631053,-80.8999599762187,Lake
"Gator Lake",25.169856863355374,-81.02002122830044,Lake
"Middle Fox Lake",25.189203476983725,-81.01427819684267,Lake
"Lake Ingraham",25.166900005512503,-81.12919172497172,Lake
"Little Fox Lake",25.198025508345772,-81.02563825668094,Lake
"The Everglades",25.216067079813904,-81.1565871712982,Lake
"Cattail Lakes",25.19434071803248,-81.07721376034802,Lake
"The Everglades",25.30512236281501,-80.9317511954364,Lake
"The Everglades",25.330830527385807,-80.95020459544637,Lake
"The Everglades",25.430319981529482,-80.94815705511957,Lake
"The Everglades",25.340219802721382,-81.04412601945425,Lake
"The Everglades",25.366588029494515,-81.0340336158885,Lake
"The Everglades",25.367221465753165,-81.02377043060092,Lake
"The Everglades",25.33991942292475,-81.03288193269529,Lake
"The Everglades",25.342251380585427,-81.0256217596977,Lake
"The Everglades",25.352228602327273,-81.03413311763933,Lake
"Maule Lake",25.932180802046744,-80.14464802384252,Lake
"Crocodile Lake",25.2832570686598,-80.30731491909896,Lake
"Silver Blue Lake",25.87267091766448,-80.22185145107511,Lake
"Lake Karen",25.91520869907922,-80.28792517714275,Lake
"The Everglades",25.943913738367602,-80.44977003137758,Lake
"Blue Lagoon",25.782452868856407,-80.27829017524682,Lake
"Desoto Lakes",25.977923154069284,-80.17071034358831,Lake
"Lake Catalina",25.720452103067537,-80.32988537989692,Lake
"Lake Surprise",25.18123239521162,-80.37693634894698,Lake
"Lake Simmons",25.191857994364497,-80.3683615706062,Lake
"Lake Ruth",25.918878068538465,-80.30111519639432,Lake
"Lake Mahar",25.775945699211707,-80.30555435485643,Lake
"Little Lake Maule",25.941614576282603,-80.14133581248261,Lake
"Lago Minore",25.691871729185344,-80.25878336932405,Lake
"The Everglades",25.76453568401971,-80.49166199368739,Lake
"The Everglades",26.011881185081233,-80.46538717372508,Lake
"Vadia Ancha",26.05978247092619,-97.25229165073674,Lake
"Resaca de las Antonias",26.09269032111775,-97.44947615419728,Lake
"San Martin Lake",26.010663069891848,-97.31979934658472,Lake
"Dana-Tule Reservoir 2",26.048216724233654,-97.46363368226885,Lake
"Laguna Larga",26.073413415934994,-97.28607395006797,Lake
"Reservoir Number Seven",26.240939113297014,-97.49407571313759,Lake
"Laguna de los Patos",26.183427932339644,-97.30057255966523,Lake
"Cameron Company Fwsd Reservoir 1",26.120717436370825,-97.31857506961721,Lake
"Cross Lake",26.167465517755616,-97.48544874960882,Lake
"Laguna Atascosa",26.236960463049403,-97.39778143812406,Lake
"Mercer Reservoir 1",26.17867355635839,-97.44635030068254,Lake
"El Tular",26.09624806177659,-97.3144182064563,Lake
"Cain Reservoir 1",26.183252436060247,-97.37090004979267,Lake
"Between the Grades Lake",26.895308100903325,-81.90144391372972,Lake
"Boggess Hole",26.817234594654273,-82.22077477384727,Lake
"Corkscrew Swamp",26.455432481279995,-81.50010071345444,Lake
"Winchester Head",26.297832542842947,-81.53763352222876,Lake
"Telegraph Swamp",26.782889049182725,-81.66045248824013,Lake
"Winchester Head",26.30545973941253,-81.53895000298765,Lake
"Ladyfinger Lake",26.457485539623494,-82.06122841371891,Lake
"Fussel Slough",26.537863197043826,-81.52244966053398,Lake
"Lake Trafford",26.426574314315115,-81.4898809673294,Lake
"Fussel Slough",26.518119250028832,-81.51621372162977,Lake
"Hickey Creek Swamp",26.707422308220796,-81.69517389911991,Lake
"Winchester Head",26.301792213617443,-81.53647352576782,Lake
"Shaggy Cypress Swamp",26.309852947482344,-81.50017686627584,Lake
"Ladle Lake",26.91010017834071,-81.95404928444735,Lake
"Bullhead Strand",26.798089935983114,-81.63571969142227,Lake
"Sanibel Bayou",26.459720061430847,-82.11375171788944,Lake
"Hardworking Bayou",26.47516053421227,-82.13896339939491,Lake
"Dinken Bayou",26.479968020252784,-82.17238726079519,Lake
"Stumpy Strand",26.190612467272327,-81.48487965941746,Lake
"Horseshoe Marsh",26.366143455965172,-81.62035283141986,Lake
"Bird Rookery Swamp",26.318083593837034,-81.60526729738856,Lake
"Poggie Strand",26.37526139238683,-81.54704999411113,Lake
"Little Cypress Swamp",26.49561468981068,-80.96360067099594,Lake
"Dark Strand",26.222411582999616,-81.06358989185959,Lake
"The Everglades",26.245040910568765,-80.52241228707818,Lake
"Graham Marsh",26.55225413040679,-81.20358425602939,Lake
"The Everglades",26.335156414384684,-80.39744689751396,Lake
"Lake Hicpochee",26.795790288485286,-81.13770777245568,Lake
"Little Lard Can Slough",26.28490944742433,-81.05397989096386,Lake
"Rice Straw Strand",26.33117491398618,-81.386619657274,Lake
"Lard Can Slough",26.346892062052504,-81.09946312167726,Lake
"The Everglades",26.167233043644863,-80.78516879657148,Lake
"Lake Hicpochee",26.793360882833042,-81.12635903539855,Lake
