name,lat,lng,category
"Menagers Lake",31.820052673966764,-112.54133621554658,Lake
"Peña Blanca Lake",31.40414860967575,-111.08675980427948,Lake
"Arivaca Lake",31.529820253751808,-111.25112841569346,Lake
"Aguirre Lake",31.583407046425553,-111.50916932608538,Lake
"Parker Lake",31.429509403948344,-110.4544163464007,Lake
"Patagonia Lake",31.494870900039224,-110.85986249195606,Lake
"Playas Lake",31.87802322273932,-108.58720717630536,Lake
"The Lake",31.905225208378138,-108.21568183413034,Lake
"Northeast Oxidation Pond Number 2",31.949808123221086,-106.33860589716491,Lake
"Mulberry Reservoir",31.866065540713077,-106.56288643225284,Lake
"County Line Lakes",31.39522355232567,-106.00545009773991,Lake
"Ascarate Lake",31.751729943465644,-106.4046310750714,Lake
"Thorn Reservoir",31.852141424082422,-106.56579393973004,Lake
"Grayton Lake",31.101073463713448,-105.2225133302979,Lake
"Camp Rice Reservoir Number One",31.3226675685467,-105.81364722518795,Lake
"Madden Reservoir",31.26690966410523,-105.66906368574415,Lake
"Alamo Reservoir Number One",31.474749988036148,-105.75364852610173,Lake
"Madden Ponding Area",31.201774035066016,-105.75388809695532,Lake
"Cavett Lake",31.40388410394231,-105.81502346543033,Lake
"Levinson Reservoir",31.088692391677203,-104.12918671568026,Lake
"Dry Lake",31.55510881700878,-104.03704181831652,Lake
"Soda Lake",31.527469809590656,-103.39154777919164,Lake
"Red Bluff Reservoir",31.966890709614553,-103.9521839793486,Lake
"Sand Lake",31.510975108406413,-103.59550571247698,Lake
"Mosquito Lake",31.3948875349074,-103.459643033813,Lake
"Monument Pond",31.585955571925442,-103.10162945029538,Lake
"Perkins Lake",31.621881635106064,-102.31995978362006,Lake
"Soda Lake",31.175939821251575,-102.37735700973454,Lake
"Blair Lake",31.247316143703234,-102.87275749302643,Lake
"Imperial Reservoir",31.265371410590355,-102.85366064966671,Lake
"Juan Cordona Lake",31.312543840909154,-102.54567938435663,Lake
"Laguna Reservoir",32.827953753717956,-114.49564122443705,Lake
"Martinez Lake",32.983923392901346,-114.47650775022947,Lake
"Mittry Lake",32.82720017681929,-114.46030633719309,Lake
"Ferguson Lake",32.98135079423533,-114.5027579238902,Lake
"Senator Wash Reservoir",32.909377005670365,-114.48610474152201,Lake
"Silver Bell Tailings Pond",32.38448227191106,-111.4819804803288,Lake
"Silver Bell Tailings Pond",32.38692392329532,-111.47415471073434,Lake
"Picacho Reservoir",32.846544840168804,-111.48039270218494,Lake
"Lake Saint Clair",32.647499930470275,-111.92952561177357,Lake
"Parks Lake",32.554906493814876,-109.29290453419169,Lake
"Bill Evans Lake",32.86667744520886,-108.57446546698532,Lake
"Caballo Reservoir",33.00120599022428,-107.28598155982067,Lake
"Lake Lucero",32.74152216489156,-106.4285988792116,Lake
"Old Coe Lake",32.2351815733625,-106.38693920758915,Lake
"Quirke Lake",32.02545151364773,-106.4252343075808,Lake
"Lake Tank",32.45504910695225,-106.71931065053305,Lake
"Willow Lake",32.18760805366494,-104.07423752940163,Lake
"Salt Lake",32.31894346933176,-103.98793261146417,Lake
"Cave Lake",32.925574842998905,-104.1622782239689,Lake
"Brainard Lake",32.758127070430355,-104.32380252541746,Lake
"Flat Lake",32.93604314099391,-104.13669531635283,Lake
"Jahie Lake",32.94442874896649,-104.13370362479161,Lake
"Queen Lake",32.19320705237584,-104.02352712732609,Lake
"Nakee Ishee Lake",32.96644619746576,-104.12413851750568,Lake
"Laguna Gatuna",32.57186273748162,-103.69841900534833,Lake
"Tamarisk Flat",32.35665761571303,-103.95999479905265,Lake
"Lindsey Lake",32.36843919601043,-103.95256767119665,Lake
"Laguna Plata",32.59351971510957,-103.74792251344365,Lake
"Laguna Tonto",32.61283900552193,-103.67517234896967,Lake
"Bum Lake",32.05715827050603,-102.71170132350512,Lake
"Cedar Lake",32.825734834219396,-102.26860066734744,Lake
"Shafter Lake",32.39638650160947,-102.66113561664373,Lake
"Frost Lake",32.96004661685317,-102.01271452814736,Lake
"Whalen Lake",32.343353813765795,-102.8183201937655,Lake
"Baird Lake",32.19795411739784,-102.2848410544676,Lake
"McKenzie Lake",32.71715654212127,-102.3190787546998,Lake
"Taylor Lake",33.03378133232688,-114.63846161391308,Lake
"Cibola Lake",33.23335926540846,-114.6715018086123,Lake
"Island Lake",33.03198437862538,-114.58727431927176,Lake
"Painted Rock Reservoir",33.06359141534177,-113.00892158145935,Lake
"Lower Lake",33.84087723451014,-112.26807735526752,Lake
"Lake Pleasant",33.91427454437463,-112.27094232768573,Lake
"Saguaro Lake",33.56837391385543,-111.52429419222337,Lake
"Apache Lake",33.58783097397008,-111.27932700254684,Lake
"Firebird Lake",33.269012868797596,-111.96470384912116,Lake
"Bartlett Reservoir",33.860218924806325,-111.62157777642426,Lake
"Canyon Lake",33.53888131137689,-111.42962870499535,Lake
"Theodore Roosevelt Lake",33.67101513109422,-111.06936730712256,Lake
"Horseshoe Reservoir",34.01082929248351,-111.72410421187152,Lake
"Theodore Roosevelt Lake",33.690708053470765,-111.15149466473532,Lake
"Tufa Stone Tank",33.37569301609526,-110.48284076548299,Lake
"Lake Takalai",33.38907647797831,-110.41996380305045,Lake
"Tailings Pond Number Three",33.42169173915373,-110.84738015741536,Lake
"San Carlos Reservoir",33.19726908400436,-110.44428740483592,Lake
"Solitude Tailings Pond",33.386671328078386,-110.83670669248038,Lake
"Georges Basin",33.626007756747605,-110.06488571026158,Lake
"Cottonwood Tailings Pond",33.384180299384866,-110.96293208805558,Lake
"Earl Park Lake",33.98165346230212,-109.73410872747971,Lake
"Slade Reservoir",33.995756073205214,-109.33635861556834,Lake
"Hog Wallow Lake",33.982783198265494,-109.42774144442436,Lake
"Beaver Dam",33.9233978903624,-109.69270429103133,Lake
"Lee Valley Reservoir",33.94127524817551,-109.50089071481501,Lake
"Tonto Lake",33.69631372565453,-109.59114033253577,Lake
"Luna Lake",33.8304558921744,-109.09136403899434,Lake
"Reservation Lake",33.8498872518943,-109.50515162575215,Lake
"Dry Lake",33.34878471889317,-109.84018969788391,Lake
"Atcheson Reservoir",33.99902363123399,-109.3456175161067,Lake
"Pacheta Lake",33.77541681463548,-109.53962141255036,Lake
"Hawley Lake",33.989337059448204,-109.75087617066168,Lake
"Tailings Water Reclamation Reservoir",33.04640758318886,-109.33873327196953,Lake
"Crescent Lake",33.90915232668192,-109.42070565174231,Lake
"Big Lake",33.882193344829446,-109.42009081834043,Lake
"Rudd Reservoir",33.98523118602438,-109.35431834389153,Lake
"Salt Shed Tank",33.35615902675495,-109.67421880959432,Lake
