name,lat,lng,category
"Lake Brandt",36.1662933794536,-79.8589904362146,Lake
"Martinsville Reservoir",36.74973889158629,-79.86558312632363,Lake
"After Bay Reservoir",36.518366078730885,-79.02351646199105,Lake
"Lake Hunt",36.336165375801606,-79.7262171959869,Lake
"Oak Hollow Lake",36.01928542314794,-79.9974001707526,Lake
"Lake Burlington",36.20865028314805,-79.41809325427201,Lake
"Lake Townsend",36.17898414791466,-79.77092999454236,Lake
"Burton Lake",36.86647691889224,-79.5349450711131,Lake
"Lake Wade",36.364195336297655,-79.58129184336772,Lake
"Stony Creek Reservoir",36.138623473809936,-79.40976680808564,Lake
"Quaker Creek Reservoir",36.11753250745104,-79.30853847529532,Lake
"Buffalo Lake",36.11199558274976,-79.79078274280535,Lake
"Smith Mountain Lake",37.08375025413478,-79.64664619982723,Lake
"Richland Lake",36.15137948371322,-79.80560684371616,Lake
"Rockingham Lake",36.34112340555747,-79.54315624861462,Lake
"High Point Lake",36.005058975252815,-79.94654245202855,Lake
"Roxboro Lake",36.42482615039616,-79.0184044808226,Lake
"Leesville Lake",37.04686644093926,-79.45432613235323,Lake
"Lake Michael",36.10482061928526,-79.24424431287275,Lake
"Lake Higgins",36.159146153024956,-79.89071649634457,Lake
"Hyco Lake",36.47040027950957,-79.1036240838998,Lake
"Quaker Creek Reservoir",36.12493893029913,-79.31755582440071,Lake
"Chub Lake",36.45166153706023,-79.00774499184907,Lake
"Elkhorn Lake",36.83335949150359,-79.17878242320286,Lake
"Wildwood Lake",36.45737697742002,-79.4014289363616,Lake
"Lake Gordon",36.69766444730691,-78.21222261549535,Lake
"Banister Lake",36.78213200774017,-78.94324537187283,Lake
"Boddies Millpond",36.0065701206527,-78.04837059818547,Lake
"John H. Kerr Reservoir",36.561290900242376,-78.42798288979888,Lake
"Brinkley Lake",36.015965696738746,-78.69496393651097,Lake
"Conner Lake",36.92050128121115,-78.80249404425614,Lake
"Mayo Reservoir",36.50071773109508,-78.87665832902893,Lake
"Island Creek Reservoir",36.54484818939328,-78.45880887248971,Lake
"Lake Gaston",36.54068751861734,-77.99495602709847,Lake
"Lake Devin",36.304285850951715,-78.62625304964767,Lake
"Mitchiners Pond",36.11329223521522,-78.35979165514674,Lake
"John H. Kerr Reservoir",36.682647882315614,-78.70919639820339,Lake
"Nottoway Reservoir",36.99964593522576,-77.98332345834898,Lake
"Darden Pond",36.652493004283734,-77.1214460188222,Lake
"Doolittle Millpond",36.40777276189359,-77.25028942025911,Lake
"Brunswick County Pond",36.79111567495703,-77.73867531280068,Lake
"Honey Pond",36.88107014258779,-77.2334597707396,Lake
"Brittles Millpond",36.969569068709234,-77.01419185024507,Lake
"Roanoke Rapids Lake",36.4836343286912,-77.74444873510139,Lake
"White Millpond",36.113685670681754,-77.35186683517878,Lake
"Airfield Pond",36.907800243914274,-77.03419796599584,Lake
"Galley Swamp",36.95924083759284,-77.41181817936679,Lake
"Taylors Millpond",36.454166284504055,-77.37880189082284,Lake
"Colgate Darden Millpond",36.76038958569454,-77.00991883049896,Lake
"Mush Pond Swamp",36.94290297018326,-77.34766155251431,Lake
"Meherrin River Reservoir",36.69850663548588,-77.56562201437123,Lake
"Rivers Pond",36.75814076920375,-77.33218180511034,Lake
"Harrells Pond",36.78283449493338,-77.39942622593891,Lake
"Beech Swamp",36.11680837906132,-77.53378003106069,Lake
"Slagles Lake",36.75885418601984,-77.52801464750118,Lake
"Lake Cohoon",36.757647878532815,-76.6451594592947,Lake
"Lake Drummond",36.6011297414363,-76.46798241136536,Lake
"Lassiter Swamp",36.43367576931455,-76.65681839568092,Lake
"Lake Burnt Mills",36.85397232649942,-76.65151336242255,Lake
"Sleepy Lake",36.90373618833777,-76.50487019247605,Lake
"Norfleet Pond",36.65067149121124,-76.70729485713713,Lake
"Merchants Millpond",36.428048631372604,-76.68691589283301,Lake
"Lake Whitehurst",36.90405196874056,-76.18697837204886,Lake
"Little Creek Reservoir",36.90060414607669,-76.16796651865548,Lake
"Acorn Hill Millpond",36.43414821814962,-76.55005140626433,Lake
"Honey Pot Swamp",36.37480340580508,-76.73454502005698,Lake
"Lake Cavalier",36.793952055649875,-76.37639747229481,Lake
"Lake Meade",36.748906467297395,-76.6051614302982,Lake
"The Desert",36.90950414772841,-76.01472029184964,Lake
"Bennett Millpond",36.14718698124686,-76.66306035360161,Lake
"Gray Swamp",36.143605729630764,-76.0817979008125,Lake
"Speights Run Reservoir",36.71282785068256,-76.63335183618624,Lake
"Lake Christopher",36.79105499020285,-76.17252500649393,Lake
"Lake Kilby",36.722838670738554,-76.60755300980318,Lake
"Lake Prince",36.806681219888276,-76.64852686311528,Lake
"Goodman Swamp",36.52042074779985,-76.6471748862491,Lake
"Pond B-2",36.654514574171856,-76.90140472202644,Lake
"Whitefields Millpond",36.81269174007405,-76.96444334709652,Lake
"Freemans Millpond",36.95266766650691,-76.95533326522947,Lake
"Mill Pond",36.377962025794275,-76.91013558884075,Lake
"Black Swamp",36.305438287854116,-76.00740407766003,Lake
"Johnson Millpond",36.79788714620363,-76.98598738484068,Lake
"Hoggard Swamp",36.30737671596333,-76.91059109927946,Lake
"Cedar Lake",36.77289742001341,-76.5346016875004,Lake
"Quaker Swamp",36.66367778254225,-76.73101893192147,Lake
"Run of Swamp",36.453124222431335,-76.91367508005352,Lake
"Western Branch Reservoir",36.816444109912766,-76.60818616801177,Lake
"Gum Swamp",36.7320551920325,-76.13876185079225,Lake
"Daughtrey Pocoson",36.701020904288114,-76.72711585739773,Lake
"Stumpy Lake",36.7642580008008,-76.15433327444424,Lake
"Light Swamp",36.53409433263956,-76.2296128056571,Lake
"Rountree South Pond",36.775267007177234,-76.57359094576307,Lake
"Lake James",36.796211747888755,-76.18525501627396,Lake
"Lake Joyce",36.910071914552454,-76.12310568245525,Lake
"Lake Smith",36.88482322424365,-76.15323225899799,Lake
"Lake Tecumseh",36.765805003292414,-75.96595444200621,Lake
"Maple Swamp",36.367261309726345,-75.930099461294,Lake
"Lake Redwing",36.79117969857559,-75.9695594577437,Lake
"Great Marsh",36.52272070804128,-75.9489977600147,Lake
"Sandbridge Marsh",36.7295330445561,-75.95167418276645,Lake
"Tar Cove Marsh",36.248954114868475,-75.78823498548091,Lake
"Goose Pond",36.2674432751027,-75.9422093430151,Lake
"Lake Moomaw",37.97055916351178,-79.96494834563302,Lake
"Timber Lake",37.3167243791547,-79.2706975982153,Lake
"Beaverdam Reservoir",37.31742551124785,-79.81862398912743,Lake
"Lynchburg Reservoir",37.6786026652345,-79.27854282545395,Lake
"Lake Merriweather",37.97347728705836,-79.44762015384755,Lake
"Douthat Lake",37.90607411164588,-79.79987388409394,Lake
"Carvin Cove Reservoir",37.38934143111108,-79.95749333317364,Lake
"Hicks Lake",37.24187784005099,-78.31206224834533,Lake
"Fork Swamp",37.44090634315051,-78.37966548696869,Lake
"Spring Creek Lake",37.21453466563843,-78.62487996437454,Lake
"Lake Monticello",37.91574978913171,-78.31507489204739,Lake
"Nelson Lake",37.68956932968834,-78.88422400140585,Lake
"Swans Lake",37.42132719161902,-78.2523092103674,Lake
"Picketts Creek Reservoir",37.66522278988567,-78.04738369747903,Lake
"Trice Lake",37.66343038520604,-78.18160502917468,Lake
"Bear Creek Lake",37.527741920829676,-78.27174192815603,Lake
"Crystal Lake",37.12600977053196,-78.08953040089423,Lake
"Fluvanna Ruritan Lake",37.89209505130151,-78.37997934781798,Lake
"Holiday Lake",37.39633134575728,-78.63763461972896,Lake
"Sports Lake",37.63462657804651,-78.23505419512335,Lake
"Mount Bernard Lake",37.668874713512444,-77.85807299462374,Lake
"Lees Millpond",37.111901447045334,-77.3319981564848,Lake
"Nebletts Millpond",37.00842529034882,-77.21987008803495,Lake
"Swift Creek Lake",37.38541890502658,-77.5614859022412,Lake
"The Meadows",37.67508947711258,-77.14224278675407,Lake
"Big Swamp",37.61529030407131,-77.64317869712,Lake
"Tommeheton Lake",37.03720183189975,-77.86224288595646,Lake
