name,lat,lng,category
"Oliver Reservoir",41.2250757388339,-103.82010098488594,Lake
"Cochran Lake",41.76987006405783,-103.54121030471141,Lake
"Winters Creek Lake",41.95566963754345,-103.52617108730527,Lake
"Lake Alice",41.99066464529442,-103.61585739312477,Lake
"Lake Minatare",41.93926629271354,-103.4956254826904,Lake
"Lake Alice Number Two",41.97265015830604,-103.57996057275308,Lake
"Murray Lake",41.72598831405029,-103.9243364749472,Lake
"Merrill Lake",41.89274936618227,-102.51464854386799,Lake
"Heskett Lake",41.82446032451204,-102.4176719815069,Lake
"Maverick Lake",41.823234586985166,-102.38671070037637,Lake
"Bluebaker Lake",41.91472783884573,-102.422630662001,Lake
"Crescent Lake",41.695898179125734,-102.41025372652408,Lake
"Clark Lake",41.84733006842599,-102.69649043977942,Lake
"Ashburger Lake",41.838008933526964,-102.44253711247961,Lake
"Alkali Lake",41.91950817510713,-102.06184793834838,Lake
"Blue Lake",41.70927911874911,-102.43483178284305,Lake
"Ramsay Lakes",41.85014053408511,-102.46442494448634,Lake
"Hills Lake",41.96572530181976,-102.54867929084467,Lake
"Breman Lake",41.86541894282662,-102.47424563221037,Lake
"Old Ladys Lake",41.85869763084237,-102.53467785623411,Lake
"Belle Lake",41.95054349705219,-102.4460811681267,Lake
"Clough Lake",41.91493464848377,-102.5656604205941,Lake
"East Valley Lake",41.8730534099161,-102.68715414584962,Lake
"Moffit Lake",41.80795982171963,-102.65275322599926,Lake
"Twin Lake",41.716225662847926,-102.54019210130309,Lake
"Long Lake",41.76147562348483,-102.5941560119725,Lake
"Island Lake",41.738198772580965,-102.39410799817013,Lake
"Storm Lake",41.85614570718385,-102.73812357789602,Lake
"Cane Lake",41.910240952964,-102.70866791029582,Lake
"Goose Lake",41.78178794699269,-102.4479330466505,Lake
"Sandbeach Lake",41.88722390372305,-102.4399712269202,Lake
"Black Steer Lake",41.7567093642448,-102.31104028766377,Lake
"Whitehead Lake",41.918781550474215,-102.50106961037999,Lake
"Schoonover Lake",41.97812952023273,-102.47452153205155,Lake
"Richardson Lake",41.91210680598192,-102.67092391118153,Lake
"Grubny Lake",41.902478319258364,-102.73267059889406,Lake
"Stockholm Lake",41.987605411670366,-102.40386656801832,Lake
"Alkali Lake",41.817092060075076,-102.5954228262758,Lake
"East Hill Lake",41.86271271298326,-102.3410039362195,Lake
"Patterson Lakes",42.00324889823747,-102.37997031786479,Lake
"E Kincaid Lake",41.925743478837106,-102.15167314213858,Lake
"Hackberry Lake",41.73058884796411,-102.43441201520223,Lake
"Swan Lake",41.72009797575397,-102.49677124278963,Lake
"Townsend Lake",41.98225741696955,-102.24853553848804,Lake
"Ryan Lake",41.94175827369067,-102.69083811534111,Lake
"Sturgeon Lake",41.990903478072966,-102.66819512384372,Lake
"Foster Lake",41.88705675566511,-102.46561300844152,Lake
"Madison Lake",41.81807694863058,-102.43634800997714,Lake
"Deer Lake",41.73904268782988,-102.30365312240754,Lake
"Johnson Lake",41.90139230569976,-102.67040477728082,Lake
"Dipping Vat Lake",41.9250692270518,-102.11725663323834,Lake
"Home Valley Lake",41.88033915345993,-102.6442027799796,Lake
"Rockford Lake",41.977283758586395,-102.30563272028816,Lake
"Groves Lake",41.882785810803085,-102.06388244616187,Lake
"Marys Lake",41.919275054436284,-102.44392957996727,Lake
"Bean Lake",41.77145616164396,-102.5323150921816,Lake
"Goose Lake",41.85010483071979,-102.72722009550844,Lake
"Melis Lake",41.867576504910495,-102.44282927545952,Lake
"Dominick Lake",41.97279249755661,-102.00793964352229,Lake
"Rogers Lake",41.89373308935203,-102.49212428754461,Lake
"Wolf Lake",41.805169549121864,-102.35148818186168,Lake
"Blue Stem Lake",41.97648562027465,-102.67190387905586,Lake
"McCarthy Lake",41.958480326266546,-102.70299087904431,Lake
"Wilson Lake",41.812598297567405,-102.61406299727047,Lake
"Gimlet Lake",41.756865824691396,-102.43715732658708,Lake
"Longfellow Lake",41.95170047783721,-102.06157895155187,Lake
"Jordan Lake",41.89224740552174,-102.54430499930878,Lake
"Roland Lake",41.98510688243031,-102.4202300572888,Lake
"Home Lake",41.96225143362958,-102.6622485630537,Lake
"Beck Lake",41.94205231635217,-102.54820395174778,Lake
"Roundup Lake",41.75190392708679,-102.41204852203995,Lake
"Sand Lake",41.789018712258176,-102.66855236553475,Lake
"Jerry Lake",41.90198707804302,-102.22607175717502,Lake
"Miles Lake",41.95589407092205,-102.62578370563637,Lake
"Whitehead Lake",41.82832597015081,-102.50318633808261,Lake
"Britton Lake",41.82052758579069,-102.24550494840213,Lake
"Crane Lake",41.72652648411401,-102.37397442607468,Lake
"Gaff Lake",41.77959757879248,-102.38715377829091,Lake
"West Hill Lake",41.86738427473071,-102.35556966727648,Lake
"Cricket Lake",41.94880771851708,-101.81858941520458,Lake
"Sand Puddin Lake",41.69925082173756,-101.638746866672,Lake
"Egan Lake",41.87286392198094,-101.60899819315279,Lake
"Bucktail Lake",41.49826012136364,-101.43750847578286,Lake
"Sand Beach Lake",41.6801349441576,-101.35318329178287,Lake
"Jefford Lake",41.754991142338895,-101.29258295005172,Lake
"Carr Lake",41.96759857293702,-101.42349862772198,Lake
"Brown Lake",41.687029875697405,-101.39812421006683,Lake
