name,lat,lng,category
"Hunter Creek Bog",42.37490321856368,-124.3065437801352,Lake
"Croft Lake",42.98288489471238,-124.45234147923765,Lake
"Floras Lake",42.892507686418334,-124.50396520809065,Lake
"Garrison Lake",42.75375614841836,-124.5099628918277,Lake
"Applegate Lake",42.0350178854215,-123.1339291725034,Lake
"Lake Selmac",42.26006269452018,-123.57805813124753,Lake
"Acorn Woman Lakes",42.040898266176654,-123.01990851344405,Lake
"Galesville Reservoir",42.836620560647134,-123.15671325026842,Lake
"Yankee Creek Reservoir",42.412319246112936,-122.71130903928417,Lake
"Willow Lake",42.47082651982048,-122.44772884219117,Lake
"Lake of the Woods",42.368028171246515,-122.21656701058265,Lake
"Medco Pond",42.657434953774775,-122.43541055328224,Lake
"Puckett Glade",42.15963375721708,-122.24931519215511,Lake
"Crater Lake",42.94294961611318,-122.09287862987327,Lake
"Desolation Swamp",42.298763490609765,-122.18699843790974,Lake
"Upper Klamath Lake",42.382407538343365,-121.95244309738288,Lake
"Island Lake",42.520166565593044,-122.23796414322919,Lake
"Agency Lake",42.55650089152188,-121.9526371011319,Lake
"Cherry Glade",42.20805490997018,-122.19047730490513,Lake
"Agate Reservoir",42.408927973647906,-122.7693864692687,Lake
"Fourmile Lake",42.46859041639681,-122.25712392211449,Lake
"Sams Valley Reservoir",42.530875027723546,-122.9894557231924,Lake
"Fish Lake",42.38663729388711,-122.33055055711279,Lake
"Indian Lake Reservoir",42.60492906670596,-122.72857461517542,Lake
"John C Boyle Reservoir",42.13967894674146,-122.03325823270626,Lake
"Aspen Lake",42.275926217718165,-122.01271406560458,Lake
"Lake Creek Reservoir",42.373002886198186,-122.62759994402496,Lake
"Modoc Pond",42.450243940649486,-122.88406858897116,Lake
"Gold Ray Reservoir",42.43690794478007,-122.97301465366844,Lake
"Lost Creek Lake",42.69983715035054,-122.59549668313953,Lake
"Howard Prairie Lake",42.23623244845759,-122.40663938064436,Lake
"Hyatt Reservoir",42.185764443370275,-122.45402297335963,Lake
"Emigrant Lake",42.14617587284844,-122.60570920010447,Lake
"Boggs Lake",42.10095356136484,-121.19047721519257,Lake
"Randall Reservoir",42.16492564530003,-121.25786783804331,Lake
"Obenchain Reservoir",42.47064095671062,-121.00196761986159,Lake
"Sycan Marsh",42.81437851690048,-121.08905184948883,Lake
"Thompson Reservoir",42.930945324239254,-121.0856147247203,Lake
"Mallory Reservoir",42.25726190033131,-121.26822812922889,Lake
"Round Lake",42.19979901529671,-121.94692532306205,Lake
"Noble Reservoir Number One",42.14641072957903,-121.19533490076873,Lake
"Long Lake",42.08033582590199,-121.32452443391387,Lake
"Harpold Reservoir",42.10240631701752,-121.34806539916359,Lake
"Big Adobe Reservoir",42.13691608035454,-121.15252813300167,Lake
"Hanks Marsh",42.30362736975932,-121.82617895022103,Lake
"Wood River Marsh",42.590646788992466,-121.93824031906895,Lake
"Smokey Lake",42.4476554087611,-121.37072828536769,Lake
"Sycan Marsh",42.78479172368505,-121.1270299012059,Lake
"DeVaul Lake",42.19358629295777,-121.15933977782771,Lake
"Gerber Reservoir",42.200751107805026,-121.10034233318311,Lake
"Round Valley Reservoir",42.135827602081804,-121.07895555383507,Lake
"McCoy Reservoir",42.07101702122648,-121.33630766688067,Lake
"Sycan Marsh",42.7802268468349,-121.14227970492088,Lake
"Alkali Lake",42.20763696011856,-121.4844673721251,Lake
"Antelope Reservoir",42.0515073833737,-121.01911104562627,Lake
"Copeland Reservoir",42.10041647780696,-121.13439699762736,Lake
"Klamath Marsh",43.00973694295501,-121.6683587803771,Lake
"Meadow Lake",42.25448948677112,-121.67342838917486,Lake
"Wilson Lake",42.27625524238859,-121.08653246991175,Lake
"Sesti Tgawaals Marsh",42.35178716154183,-121.9140083423612,Lake
"Muckney Lake",42.43367877914726,-121.39446538639363,Lake
"Millhayes Meadow",42.786191192820006,-121.68013062292557,Lake
"Pankey Lake",42.19423835264122,-121.21485385784844,Lake
"Lost River Pool",42.155766392995574,-121.65503503784203,Lake
"Lake Ewauna",42.210239649779595,-121.77994287103762,Lake
"Swan Lake",42.3213688240736,-121.61102102765736,Lake
"Pope Reservoir",42.056401029913616,-121.33559887518103,Lake
"Upper Midway Reservoir",42.116894119692155,-121.0241335322231,Lake
"Buckmaster Flat",42.3096387690756,-121.19428464556053,Lake
"Sycan Marsh",42.785498604897846,-121.13794389872034,Lake
"Oatman Lake",42.17010323512302,-121.99157166737704,Lake
"Dog Hollow Reservoir",42.117110389070874,-121.10749622520296,Lake
"Klamath Marsh",42.965811462192285,-121.66452895994064,Lake
"Sycan Marsh",42.817467937903295,-121.10431953708017,Lake
"Smith Reservoir",42.10705514275342,-121.33397329119859,Lake
"Hawks Lake",42.622386052934125,-121.63594347269515,Lake
"Sycan Marsh",42.75714459735779,-121.17663748482185,Lake
"Klamath Marsh",42.928533049824935,-121.69193018545396,Lake
"Spring Lake",42.093732711023435,-121.74428834046941,Lake
"Round Lake",42.20080043917916,-121.94294462101168,Lake
"Sycan Marsh",42.83733245446134,-121.08224975456326,Lake
"Dry Prairie Reservoir",42.255397625899334,-121.18276790062532,Lake
"Abraham Flat",42.93307639650163,-121.5685770923316,Lake
"Klamath Marsh",43.032381833982356,-121.62377711886735,Lake
"Whiteline Reservoir",42.34504421469001,-121.74141193911801,Lake
"Nuss Lake",42.14686896611992,-121.63660353465417,Lake
"Hanks Marsh",42.307338358346314,-121.82790737956786,Lake
"Wild Billy Lake",42.500560567333125,-121.31839254361066,Lake
"Willow Valley Reservoir",42.011777517995505,-121.10596195429432,Lake
"Bumphead Reservoir",42.057426215756635,-121.10706349622083,Lake
"Hanks Marsh",42.31842596327324,-121.82817178929378,Lake
"Riddle Field",42.45432565940077,-121.55396922495035,Lake
"Threemile Reservoir",42.04031328934816,-121.16129535033836,Lake
"Horton Reservoir",42.37899247248321,-121.48406196102651,Lake
"Sycan Marsh",42.771784721587046,-121.11885432405904,Lake
"Short Lake",42.24485291451659,-121.42427754184898,Lake
"Gordon Lake",42.908007024721954,-121.4926101940486,Lake
"Klamath Marsh",42.85534132833785,-121.70495966072616,Lake
"Wood River Marsh",42.61201072724192,-121.95482794361396,Lake
"Caledonia Marsh",42.289049174450064,-121.91767662320234,Lake
"Caledonia Marsh",42.30435343708037,-121.91084032483018,Lake
"Caledonia Marsh",42.30269387210265,-121.89889586087037,Lake
"Wocus Marsh",42.25810028413047,-121.89816391040819,Lake
"Furber Marsh",42.08893907229714,-121.8518738912745,Lake
"Worlow Meadow",42.07211695927913,-121.33399241208983,Lake
"Tull Reservoir",42.151369852137755,-120.92340019971638,Lake
"Mule Lake",42.589057646556775,-120.16009712064253,Lake
"Crump Reservoir",42.221538508721935,-119.99627607232244,Lake
"LIttle Fishhole Flat",42.21250572218621,-120.94509412823831,Lake
"Foster Lake",42.944569084697996,-120.94663121327949,Lake
"Devil Lake",42.31582010980981,-120.95828936359909,Lake
"Lower Chewaucan Marsh",42.55519108686874,-120.38486044426215,Lake
"Feather Bed Lake",42.69592180865529,-120.08196865528818,Lake
"Lofton Reservoir",42.264341961725535,-120.81675215659796,Lake
"Cottonwood Reservoir",42.25918230331624,-120.51713833133954,Lake
"Big Reservoir",42.15495051985458,-120.00844021758817,Lake
"Campbell Reservoir",42.41838452701443,-120.96075173340158,Lake
"Skookum Lake",42.71186423601366,-120.07301928642889,Lake
"Grassy Lake",42.97825566769316,-120.96551127100108,Lake
"Little Fishhole Flat Reservoir",42.222352861111496,-120.93766006071732,Lake
"Schoolhouse Lake",42.96258627742405,-120.7138329289653,Lake
"Juniper Lake",42.104678985571326,-120.0508081588976,Lake
"Loco Lake",42.828446718684695,-120.57104216034323,Lake
"Rest Lake",42.95744786578955,-120.75536621186745,Lake
"Colvin Lake",42.5003125908048,-120.17763551349684,Lake
"Lake Abert",42.65000891105439,-120.21876869165271,Lake
"Summer Lake",42.837755513349855,-120.76159537992714,Lake
"Sid Luce Reservoir",42.4493325919823,-120.08604288607464,Lake
"Holbrook Reservoir",42.26944811380398,-120.8507421469463,Lake
"Mill Lake",42.42013977586336,-120.33232547418189,Lake
"South Arm Reservoir",42.07884550915216,-120.80702323660094,Lake
"Patton Meadow",42.24381672842944,-120.60279706791998,Lake
"Ana Reservoir",42.99748982926886,-120.7567782344194,Lake
"Drews Reservoir",42.16642300798149,-120.66565631818544,Lake
"Twin Lakes",42.6338890464352,-120.10886767149616,Lake
"Flynn Reservoir",42.278107179549295,-120.07326720211647,Lake
"Moss Flat",42.41693678596864,-120.42867368267301,Lake
"Strawberry Reservoir",42.10422544526395,-120.85091856181721,Lake
"Butcher Flat Reservoir",42.28836518380809,-120.8185055436053,Lake
"Binkey Lake",42.60360763762467,-120.11146708771906,Lake
"Grohs Reservoir",42.01724037767369,-120.94830531984474,Lake
"Junipers Reservoir",42.199589654950536,-120.5252774615366,Lake
"Albertson Reservoir",42.0450486649715,-120.8071788551305,Lake
"Dog Lake",42.709220159470924,-120.09366388365632,Lake
"Tule Swamp",42.19683208571574,-120.1165834191675,Lake
"Dog Lake",42.07914908075491,-120.70487204126162,Lake
"Dutchy Lake",42.966858124491644,-120.76970421860169,Lake
"Holmes Meadow",42.17524990582019,-120.83810214159485,Lake
"Guano Reservoir",42.52512359024294,-119.31186776940056,Lake
"Priday Reservoir",42.33915383902294,-119.89598106512662,Lake
"May Lake",42.29211375682513,-119.69183966849491,Lake
"Pelican Lake",42.20398029440997,-119.8813761429826,Lake
"Greaser Reservoir",42.16959847656709,-119.80793163353003,Lake
"Greaser Lake",42.12234163728887,-119.80424300167506,Lake
"Alger Lake",42.343303281451185,-119.51642326729353,Lake
"Mud Lake",42.19779478015768,-119.71759503194475,Lake
"Bull Lake",42.329380105161086,-119.95857434298523,Lake
"Hart Lake",42.38718352330098,-119.8581240252949,Lake
"Reservoir Lake",42.325187441939846,-119.72016642382201,Lake
"Little Reservoir",42.121367076418345,-119.60850659189414,Lake
"Spanish Lake",42.393303381473494,-119.64297699669824,Lake
"Foster Lake",43.001505971877336,-119.26339992617787,Lake
"School Section Lake",42.268334122650046,-119.66775409328653,Lake
"Calderwood Reservoir",42.239996689566915,-119.76552100151031,Lake
"Shirk Lake",42.23441278157257,-119.50735479238351,Lake
"Fred Pond",42.33915417288007,-119.5826288441303,Lake
"Fortyfour Lake",42.309125973846896,-119.704272328763,Lake
"Greaser Reservoir",42.109177330988395,-119.87387136069631,Lake
"Crump Lake",42.289729373995016,-119.83037457745527,Lake
"Anderson Lake",42.499927793036704,-119.81820771858881,Lake
"Jacobs Reservoir",42.290672730746444,-119.65925659832173,Lake
"Desert Lake",42.376531589176246,-119.55861569271546,Lake
"Swamp Lake",42.517510371728584,-119.824901399573,Lake
"Long Lake",42.233663326534966,-119.6696268561504,Lake
"Piute Reservoir",42.06876493784793,-119.56364083655991,Lake
"Thunderbird Lake",42.374509123424524,-119.62587983327195,Lake
