name,lat,lng,category
"Humboldt Wells",41.12333499563541,-114.96360523371271,Lake
"Crittenden Reservoir",41.52917887791813,-114.16920462689818,Lake
"Dake Reservoir",41.35541670770309,-114.08833694512472,Lake
"23 Mile Reservoir",41.53935007808733,-114.38211589998501,Lake
"Bishop Creek Reservoir",41.2639428841977,-114.89497768603255,Lake
"Lynn Reservoir",41.84635595018853,-113.7244820103731,Lake
"Etna Reservoir",41.70318919699156,-113.96096374640126,Lake
"Great Salt Lake",41.242152322858445,-112.40035571514181,Lake
"Rose Ranch Reservoir",41.95158146850178,-112.74526801695308,Lake
"Cement Ponds",41.56508186326583,-112.05744332663727,Lake
"Great Salt Lake",41.293796893710784,-112.4393827055191,Lake
"Cutler Reservoir",41.83044504381991,-111.96867502934028,Lake
"Spires Lake",41.61217985153315,-112.30828988649861,Lake
"North Bay",41.50718312997172,-112.16645139314761,Lake
"Coyote Ponds",41.51904367990189,-112.75356812855401,Lake
"West Lake",41.69777478668049,-112.96968856248066,Lake
"Blue Creek Reservoir",41.816252411380184,-112.46066106399105,Lake
"Crocker Lake",41.606060650848214,-112.29334523045624,Lake
"Horseshoe Sloughs",41.53084853757095,-112.09426731488428,Lake
"South Bay",41.46619964109202,-112.29904817658247,Lake
"South East Bay",41.48535368038095,-112.15925033284573,Lake
"Pintail Lake",41.5805901134546,-112.31710234418895,Lake
"Willard Bay Reservoir",41.398280969585755,-112.0664384859036,Lake
"Great Salt Lake",41.17241482712393,-112.20557856128032,Lake
"Widgeon Lake",41.568344321545965,-112.31151498703004,Lake
"Hull Lake",41.57061592677497,-112.28318417257874,Lake
"Duck Lake",41.58341600995367,-112.28949931107981,Lake
"Great Salt Lake",41.225879462940526,-112.39301230812859,Lake
"Newton Reservoir",41.90628570377215,-111.98547997944094,Lake
"East Lake",41.69181798705364,-112.91310339541768,Lake
"Klondike Lake",41.5029836434638,-112.15477889397715,Lake
"Great Salt Lake",41.263323312711144,-112.39380664836558,Lake
"Great Salt Lake",41.00157028336866,-112.16751875403583,Lake
"Birch Creek Reservoirs",41.50580601231527,-111.32659480677182,Lake
"Sixmile Reservoir",41.83644397029007,-111.10723986877348,Lake
"South Lake",41.92235547691727,-111.0729700310015,Lake
"Blue Grass Pond",41.459784838937765,-111.13778655940062,Lake
"Pineview Reservoir",41.27030677529908,-111.79834520255153,Lake
"Mantua Reservoir",41.50418905675818,-111.9308384353958,Lake
"Causey Reservoir",41.298924181724495,-111.57732184168624,Lake
"Neponset Reservoir",41.38139244841256,-111.13532281094665,Lake
"Barker Reservoir",41.12214124886904,-111.05392994377638,Lake
"Little Creek Reservoir",41.676028622722825,-111.23183538468047,Lake
"Bear Lake",41.99594587733035,-111.35166575783968,Lake
"Porcupine Reservoir",41.51881528987886,-111.73329898010107,Lake
"Woodruff Reservoir",41.464128410372595,-111.33255104596614,Lake
"Hyrum Reservoir",41.61588197566753,-111.85869638132276,Lake
"Crane Reservoir",41.271645534151766,-111.12740817391497,Lake
"Woodruff Narrows Reservoir",41.476948757724905,-111.01870158940778,Lake
"Lost Creek Reservoir",41.19544919252847,-111.38604622043201,Lake
"Wall Reservoir",41.334010162833465,-110.39704203575613,Lake
"Cottonwood Reservoir",41.264886403945226,-110.47790081412936,Lake
"Kemmerer Reservoir",41.94585370765836,-110.65641013637655,Lake
"Piedmont Reservoir",41.181717504384316,-110.6520583996687,Lake
"Myers Reservoir",41.09818028238272,-110.89628446561045,Lake
"Lake Viva Naughton",41.986738698031445,-110.66446243350929,Lake
"Meeks Cabin Reservoir",41.004166224588516,-110.5831806906385,Lake
"Austin Reservoir",41.41264263068264,-110.29396441182509,Lake
"Crompton Reservoir",41.29094647891242,-110.95440998128859,Lake
"Sulphur Creek Reservoir",41.1518965983166,-110.8202954333795,Lake
"Solid Waste Disposal Cell H Reservoir",41.584689755968874,-109.7496768499312,Lake
"Stevens Draw Reservoir",41.73495614772639,-109.65596742099193,Lake
"Flaming Gorge Reservoir",41.112060188214514,-109.54563772375697,Lake
"Number 2 Evaporation Reservoir",41.58120629317487,-109.74411063205545,Lake
"Number 3 Evaporation Reservoir",41.57868353964257,-109.73406512546663,Lake
"Red Lakes",41.55021496051988,-108.00548505597631,Lake
"Jim Bridger Project Evaporation Pond",41.760545507946176,-108.79699148970157,Lake
"Lost Creek Lake",42.00736898588219,-108.2024358787381,Lake
"Frewen Lake",41.6517675610908,-108.02694154261626,Lake
"Cow Creek Reservoir",41.146198989470484,-108.42381058201671,Lake
"Jim Bridger Reservoir",41.72744671776737,-108.78497498562211,Lake
"Hogback Lake",41.752872610338066,-107.3148406393196,Lake
"Fivemile Lake",41.55868025020739,-107.92585785345453,Lake
"Monument Lake",41.83969575116526,-107.96642103563202,Lake
"Mahoney Lakes",41.932928714470634,-107.51776262195622,Lake
"Hansen Lake",41.972746021586424,-107.9267061733223,Lake
"Separation Lake",41.99032860855254,-107.25667003445534,Lake
"High Savery Reservoir",41.277895531627166,-107.28029558003001,Lake
"Dry Lake",41.956242229581356,-107.23155992076727,Lake
"Mud Springs Lake",41.91367775852845,-107.70601511523874,Lake
"Buck Draw Reservoir",41.38665751299114,-106.99840416086268,Lake
