name,lat,lng,category
"Reed Swamp",33.06244773298955,-87.75756427364088,Lake
"William Bacon Oliver Lake",33.23395230891279,-87.52598436283704,Lake
"Crystal Lake",33.06920906409057,-87.22528969453757,Lake
"Lake Nicol",33.30591257950582,-87.47943257573421,Lake
"Rock Lakes",33.33023421778123,-87.07018838615063,Lake
"Ski Lake",33.28728180964528,-87.140897677342,Lake
"Lake Warner",33.21537452889022,-87.69475943569056,Lake
"Walker County Lake",33.80269534458255,-87.22941919208422,Lake
"Moodys Swamp",33.161165196146825,-87.61358716596568,Lake
"West Jefferson Reservoir",33.64337497981047,-87.08004470420572,Lake
"Bugs Lake",33.700278027947405,-87.656242450673,Lake
"Cypress Pond",33.06825161124117,-87.63801532433396,Lake
"Sewage Lagoon South",33.16464402495485,-87.57138601214855,Lake
"Lake Lurleen",33.297784317711674,-87.6802973736393,Lake
"Lake Harris",33.27384818917598,-87.47767321711335,Lake
"Bankhead Lake",33.4959502134601,-87.3007169375447,Lake
"Coleman Lakes",33.28079178266909,-87.03303038113955,Lake
"Lake Tuscaloosa",33.34555195020484,-87.55762248322594,Lake
"Fayette County Lake",33.652033661249185,-87.74492523770294,Lake
"Holt Lake",33.32451043241703,-87.40817019416976,Lake
"Coldwater Pond",33.359925208346006,-87.76401344097576,Lake
"Rattlesnake Lake",33.631931381068874,-87.18191241806676,Lake
"Mimosa Lake",33.15633841771965,-87.56594838650659,Lake
"Snag Lake",33.03591768306754,-87.65056005737547,Lake
"Goose Pond",33.167759539467184,-87.66139281823715,Lake
"Northwood Lake",33.25364744908491,-87.58205986593966,Lake
"Lewis Smith Lake",34.051019099325046,-87.18855423907702,Lake
"Keaton Lake",33.00336355206989,-87.69938775356732,Lake
"Sipsey Swamp",33.228979159766006,-87.78730607222451,Lake
"Englewood Swamp",33.10398340012042,-87.5863682429084,Lake
"Springville Sportsmen Lake",33.71850612995525,-86.41685826229406,Lake
"Logan Martin Lake",33.609834409898454,-86.19756077625657,Lake
"Echo Lake",33.728194201837994,-86.54218774595623,Lake
"Bayview Lake",33.5583856800638,-86.96794120408573,Lake
"Brooks Lake",33.65833410343881,-86.09322853387478,Lake
"Ruffin Swamp",33.26036163398281,-86.84646728017832,Lake
"Caudles Lake",33.16950188710434,-86.39634988004302,Lake
"Lay Lake",33.105518063777744,-86.49656650778415,Lake
"Deerwood Lake",33.37538716363801,-86.47410456572686,Lake
"McCay Lake",33.85555455823896,-86.77277682222417,Lake
"Great Pine Lake",33.45128600056459,-86.5971069899735,Lake
"Zamora Lake",33.751194162204165,-86.60588996949298,Lake
"Ingram Arkadelphia Lake",33.922379499217456,-86.91181381488681,Lake
"Lunker Lake",33.37987997342923,-86.69080622789465,Lake
"Chandler Mountain Lake",33.94556748326084,-86.23718772282147,Lake
"Tallaseehatchee Watershed Number 1",33.201511971915984,-86.18312486090987,Lake
"Indian Valley Lake",33.376462688342244,-86.76306815687795,Lake
"H Neely Henry Lake",33.904210884149414,-86.04312095238357,Lake
"Lay Lake",33.35771617223756,-86.35857219674202,Lake
"Quickhaven Lake",33.74215860161932,-86.56859438117688,Lake
"The Narrows",33.46524442606813,-86.64595124174194,Lake
"Highland Lake",33.8876246041586,-86.42430040529646,Lake
"Heather Lake",33.4157647429652,-86.70807643086722,Lake
"Old Glade Swamp",33.29749750919031,-86.43181594075432,Lake
"Etowah Conservation Lake",33.98775744928086,-86.27842918170664,Lake
"Oak Mountain Lake",33.37086628425885,-86.70109301086775,Lake
"Pinedale Lake",33.83785111996591,-86.31480002225314,Lake
"Wehapa Lake",33.47006253534602,-86.56988805417922,Lake
"Hollybrook Lake",33.458302863961414,-86.59038554921646,Lake
"Double Oak Lake",33.32823098027837,-86.75656944832674,Lake
"Mountain Lake",33.7795973101404,-86.61218478991218,Lake
"Lake Sumatanga",33.95672079016232,-86.2647313717204,Lake
"Bounds Lake",33.227731562876585,-86.71840204453844,Lake
"Inland Lake",33.8414618340451,-86.51523066995246,Lake
"Choccolocco Creek Lake Number 7",33.7473890437042,-85.57762616135759,Lake
"High Pine Creek Lake Number 2",33.17718189148977,-85.37525069256647,Lake
"R L Harris Reservoir",33.283590598419316,-85.60402349950505,Lake
"Terrapin Creek Lake Number 8",33.99726658189353,-85.55990629266283,Lake
"Eubank Lake",33.90394215436641,-85.0868927166874,Lake
"Lake Carroll",33.59502752993528,-85.05595420203927,Lake
"Little Tallapoosa Lake",33.71314480273644,-84.9952780826604,Lake
"Richards Lake",33.56593543996296,-85.06315921513136,Lake
"La Garde Lake",33.96318507798542,-85.55081223219973,Lake
"Humphries Lake",33.65993025924155,-85.00559511913593,Lake
"Terrapin Creek Lake Number 33",33.92250936601613,-85.45890479765308,Lake
"Choccolocco Number 11 Lake",33.56893566900109,-85.74725421249148,Lake
"Finks Lake",33.743512145617146,-85.84190599230024,Lake
"West Point Lake",33.05850690208839,-85.1423584875776,Lake
"Crystal Lake",33.188068164398935,-85.41157122756847,Lake
"Piney Woods Lake",33.058034498596406,-85.05201798963778,Lake
"Nelson Lake",33.405184388552286,-85.49521469432136,Lake
"Lake Olympia",33.81570109205653,-85.14040293830934,Lake
"Lake Gerald",33.433567877135836,-85.67432921127092,Lake
"Callaway Lake",33.05453556323964,-85.06791715083885,Lake
"Boy Scout Lake",33.520066450057975,-85.6671335767729,Lake
"Lees Lake",33.883418675326205,-85.92972478836552,Lake
"Whitesides Mill Lake",33.74025274390798,-85.65128207976343,Lake
"Hannah Swamp",33.81361400027853,-84.98964197373039,Lake
"Tumlin Lake",33.74808491655226,-84.95715666759669,Lake
"Lake Tyrone",33.44942080931621,-84.61641957749751,Lake
"Berkeley Lake",33.98327893498385,-84.18283218585901,Lake
"Jones Millpond",33.08330047417497,-84.61753126788447,Lake
"Lake Matthews",33.89520170343805,-84.03369347028797,Lake
"Shamrock Lake",33.48138810215547,-84.30145348901709,Lake
"Wynns Pond",33.4031832731912,-84.61308191891082,Lake
"Freeman Lake",33.91945594885313,-84.14402459079272,Lake
"Big Lake",33.64435579494242,-84.70400383285397,Lake
"Clearwater Lake",33.31682361368956,-84.67532174363207,Lake
"Lake Dow",33.442217130030954,-84.07802748948264,Lake
"Newnan Waterworks Reservoir Number One",33.34592394158873,-84.81184036231097,Lake
"Blalock Lake Number Two",33.292979416588764,-84.88231913922218,Lake
"Clayton County Reservoir",33.52514053875522,-84.17823057529145,Lake
"Newnan Waterworks Reservoir Number Three",33.351041315340154,-84.80098787602894,Lake
"Blalock Lakes",33.28622387148451,-84.89892238824402,Lake
"Cardinal Lake",33.97807678114822,-84.13161524301604,Lake
"Lake Bennett",33.45512742976165,-84.49596531404646,Lake
"Swan Lake",33.58426351368678,-84.20639100480358,Lake
"DeKalb County Water Works",33.937947675998,-84.28026223727815,Lake
"Legion Lake",33.79281072812988,-84.94725023248266,Lake
"Lake Val-Do-Mar",33.74276176116233,-84.89098017463051,Lake
"Heads Creek Reservoir",33.28901453917215,-84.36101536683819,Lake
"Club Lake",33.41919153792202,-84.36060932459469,Lake
"Yellow Jacket Creek Structure Number 15 Lake",33.18214256804975,-84.88164590779522,Lake
"High Falls Lake",33.190217501687115,-84.03287008519338,Lake
"Upper Twin Lake",33.63497181171777,-84.63911128594653,Lake
"Carmichel Lake",33.60000738832361,-84.75905659831749,Lake
"Norris Lake",33.7644085255329,-84.04088456906756,Lake
"Cowart Lake",33.67077795556441,-84.53513409990924,Lake
"Barnesville Reservoir",33.1212636467153,-84.11826684982616,Lake
"Sams Lake",33.4055074890566,-84.4677528869772,Lake
"Pine Valley Lake",33.83773072476642,-84.73018131247012,Lake
"Lake Peachtree",33.39767490548597,-84.57706268717557,Lake
"Stone Mountain Lake",33.81008570118174,-84.13490602347048,Lake
"Treasure Lake",33.637912979394905,-84.92106310867219,Lake
"Mathis Lake",33.07038547190788,-84.72749820946426,Lake
"George H Sparks Reservoir",33.75779394530831,-84.63523357956818,Lake
"Harbins Lake",33.482641543327766,-84.28323082380223,Lake
"Bibbs Lake",33.42566844918731,-84.85336612568108,Lake
"Skyland Lake",33.3450659412406,-84.08867669122557,Lake
"Lake Erma",33.453433671664285,-84.2583932861549,Lake
"Bull Sluice Lake",33.988831678060755,-84.37901282179958,Lake
"Pinley Lake",33.481216244929875,-84.5404221122821,Lake
"Lake Jodeco",33.514336415193135,-84.29418263808392,Lake
"Chief McIntosh Lake",33.24746523439272,-83.93503710732668,Lake
"Lake Bulow Campbell",33.46522637865304,-83.86791986378486,Lake
"Murder Creek Lake",33.44944562619087,-83.72484366136354,Lake
"Parkers Lake",33.74642793028414,-83.94210917966541,Lake
"Boyle Murder Lake",33.45574015380324,-83.73234224960683,Lake
"Boyle Lake Number Five",33.44212244385677,-83.73545876945072,Lake
"Lake Oconee",33.46552260569902,-83.2359415190875,Lake
"Lake Oglethorpe",33.86889739410312,-83.22930260082845,Lake
"Vason Lake",33.45326397205277,-83.52976042826087,Lake
"Lake Sinclair",33.21866547895533,-83.2586026967229,Lake
"Lower Williams Lake",33.669155847736285,-83.80875217080118,Lake
"Rockdale Lake",33.706622778996675,-83.97478382447719,Lake
"Lake Rutledge",33.64790380749243,-83.58706284861415,Lake
"Malone Lake",33.26357830737339,-83.68030464644835,Lake
"Watershed Lake",33.95623751122519,-83.62099420795354,Lake
"Jackson Lake",33.367149664847545,-83.86340425947164,Lake
"Rock Eagle Lake",33.418007672076,-83.39171801057348,Lake
"Covington Reservoir",33.62977065828063,-83.8485776213339,Lake
"Beaverdam Creek Lake",33.7318018805315,-82.82842307964263,Lake
"Jordan Millpond",33.04204881030233,-82.6806431485653,Lake
"J. Strom Thurmond Reservoir",33.851087238812056,-82.38156505653637,Lake
"Lake Olmstead",33.49490859948772,-82.00322854436071,Lake
"J. Strom Thurmond Reservoir",33.65504018517344,-82.43496543499388,Lake
"Kellys Pond",33.03116740809716,-82.35684474947234,Lake
"Johnsons Lake",33.364645818777085,-82.63362569237023,Lake
"Harrison Lake A",33.51785459537385,-82.46166146324653,Lake
"Clarks Mill Pond",33.081022565408475,-82.46905542515817,Lake
"Richmond Factory Pond",33.34869515976973,-82.05919452615613,Lake
"Fort Gordon Reservoir",33.4329768931228,-82.10625949421087,Lake
"Huber Lake",33.2737786124481,-82.41979703390044,Lake
"Hamburgh Millpond",33.210781742110214,-82.78924614380038,Lake
"Lower Leitner Pond",33.34861627794171,-82.24367399313353,Lake
"Bowdens Pond Number One",33.32507892368923,-82.40286474669574,Lake
"Harrison Lake B",33.53260211402529,-82.46393934855652,Lake
"J. Strom Thurmond Reservoir",33.97917963805361,-82.61049824887057,Lake
"Archers Lakes",33.12123581078058,-82.69579132927248,Lake
"Kaolin Mines Lake",33.33014402555266,-82.44860453733322,Lake
"Mays Millpond",33.084679959423454,-82.768985802894,Lake
"Shivers Lake Number One",33.46529152536591,-82.79891834065235,Lake
"Warrenton City Pond",33.40003585569562,-82.71340472075875,Lake
"Usry Pond",33.42134581973282,-82.45273157724898,Lake
"Etheredge Millpond",33.6323775409488,-81.05125807186006,Lake
"Mobley Swamp",33.01148000747756,-81.55991701291987,Lake
"Vaucluse Pond",33.61958047817697,-81.80886938180355,Lake
"Edgar A Brown Lake",33.25521754102756,-81.36584853924998,Lake
"Neeses Lake",33.58769138126374,-81.51121216214383,Lake
"Doussoss Bay",33.163299463383446,-81.12379515336016,Lake
"Tutens Millpond",33.01756416463211,-81.2251999601037,Lake
"Clearwater Lake",33.50720321375641,-81.89494317785561,Lake
"Hunt Pond",33.908288900594094,-81.17060111028897,Lake
"Cowford Lake",33.418101976391256,-81.17103838816445,Lake
"Reynolds Pond",33.623942368105055,-81.70639050908859,Lake
"Lake Murray",34.08483365832812,-81.4292056354734,Lake
"Pond Five",33.256909179363475,-81.57099649714367,Lake
"Carolina Eastman Waste Pond",33.86122196335698,-81.00534225456,Lake
"Alligator Bay",33.1573491084674,-81.14417476558967,Lake
"Moragne Pond",33.8740538701725,-81.2499088110888,Lake
"Lexington Acres Pond",33.84435217377497,-81.0534836792882,Lake
"Phinizy Swamp",33.41173856773829,-81.9719243353086,Lake
"Odell Memorial Lake",33.77959518640939,-81.89557362199979,Lake
"Green Savannah Lake",33.13761490144826,-81.37035512547948,Lake
"Cypress Pond",33.175087597006375,-81.14234444407366,Lake
"Langley Pond",33.534319066657915,-81.82998737511421,Lake
"The Big Bay",33.06438719665247,-81.52491606291544,Lake
"Bennock Millpond",33.26042989998312,-81.89377678723443,Lake
"Telfair Pond",33.11532777661096,-81.76795290465385,Lake
"The Bay",33.089443225255586,-81.54994989970405,Lake
"Craigs Pond",33.28739897087887,-81.47901009852362,Lake
"Oliver Swamp",33.00982658130607,-81.588960376294,Lake
"Sutton Bay",33.23524281928306,-81.08720490597862,Lake
"Fort Pond",33.762817617622346,-81.23887469738533,Lake
"Chitty Pond",33.161134707533165,-81.1659785807635,Lake
"Pond B",33.29904700030896,-81.5449382208452,Lake
"Paxton Millpond",33.86047485821466,-81.3451286064165,Lake
"D'Antignac Swamp",33.1921822691977,-81.77867324219497,Lake
"Wastewater Treatment Pond Number Two",33.32965954564689,-81.9445500197236,Lake
"Calmont Pond",33.76679953112699,-81.03930159921336,Lake
"Millers Pond",33.21636021705492,-81.8804469783269,Lake
"Wastewater Treatment Pond Number Four",33.325312246881516,-81.94278530232388,Lake
"Barr Lake",33.95501097788451,-81.26387656334587,Lake
"Smiths Lake",33.02212332977365,-81.50447525083295,Lake
"Edisto Lake",33.67558907234232,-81.32398785180985,Lake
"Booker Pond",33.31470712344144,-81.25930859456918,Lake
"Graniteville Pond Two",33.580687100543514,-81.80727094522588,Lake
"Brunston Swamp",33.2354901568597,-81.06573517411172,Lake
"Davis Pond",33.87583047435906,-81.54476249404254,Lake
"Crystal Lake",33.928296374543976,-81.22666621120987,Lake
"Ben Rice Bay",33.194062493226774,-81.10663212473344,Lake
"Wastewater Treatment Pond Number Five",33.32815657383519,-81.9304708061367,Lake
